"lesson","concept","skill","objective","before_templates","after_templates","before_dedicated","after_dedicated","before_quick","after_quick","after_reused","recognition","production","reasoning","authored","variants","generators","interaction","input","grading","activation","single_fixed","baseline_library_lessons"
"asymptotic-growth","algorithm-lower-bound","prove","","1","1","0","0","0","0","1","0","0","1","0","0","0","high","handwriting;math-text;photo","open-reasoning","algorithm-lower-bound","true","asymptotic-growth"
"asymptotic-growth","asymptotic-rules","prove","","3","3","0","0","0","0","3","0","0","3","0","0","0","high","handwriting;math-text;photo","open-reasoning","asymptotic-rules","false","asymptotic-growth"
"asymptotic-growth","big-o","counterexample","","1","1","0","0","0","0","1","0","1","0","0","0","0","high","handwriting;math-text;photo","open-reasoning","big-o","true","asymptotic-growth"
"asymptotic-growth","big-o","justify","","1","1","0","0","0","0","1","0","0","1","0","0","0","high","handwriting;math-text;photo","open-reasoning","big-o","true","asymptotic-growth"
"asymptotic-growth","big-o","prove","","5","5","0","0","0","0","5","0","0","5","0","0","0","high","handwriting;math-text;photo","open-reasoning","big-o","false","asymptotic-growth"
"asymptotic-growth","big-o","recognize","","1","1","0","0","1","1","1","1","0","0","0","0","0","low","tap","choice","big-o","true","asymptotic-growth"
"asymptotic-growth","big-omega-theta","interpret","fixed-asymptotic-constants","0","1","0","1","0","1","0","1","0","0","1","2","0","low","tap","choice","big-omega-theta","false",""
"asymptotic-growth","big-omega-theta","justify","graph-scan-growth-transfer","0","1","0","1","0","0","0","0","0","1","1","2","0","high","math-text","open-reasoning","big-omega-theta","false",""
"asymptotic-growth","big-omega-theta","prove","","6","6","0","0","0","0","6","0","0","6","0","0","0","high","handwriting;math-text;photo","open-reasoning","big-omega-theta","false","asymptotic-growth"
"asymptotic-growth","big-omega-theta","recall","asymptotic-bound-directions","0","1","0","1","0","1","0","1","0","0","1","3","0","low","tap","choice","big-omega-theta","false",""
"asymptotic-growth","big-omega-theta","recognize","","1","1","0","0","1","1","1","1","0","0","0","0","0","low","tap","choice","big-omega-theta","true","asymptotic-growth"
"asymptotic-growth","case-complexity","compute","","1","1","0","0","0","0","1","0","1","0","0","0","0","low","math-text","structured","case-complexity","true","asymptotic-growth"
"asymptotic-growth","case-complexity","interpret","","2","2","0","0","2","2","2","2","0","0","0","0","0","low","tap","structured","case-complexity","false","asymptotic-growth"
"asymptotic-growth","case-complexity","recall","worst-case-term","0","1","0","1","0","1","0","0","1","0","0","0","0","low","short-text","structured","case-complexity","true",""
"asymptotic-growth","case-complexity","recognize","","2","2","0","0","2","2","2","2","0","0","0","0","0","low","tap","choice","case-complexity","false","asymptotic-growth"
"asymptotic-growth","cost-model","analyze","","1","1","0","0","0","0","1","0","1","0","0","0","0","high","handwriting;math-text;photo","open-reasoning","cost-model","true","asymptotic-growth"
"asymptotic-growth","cost-model","compute","","2","2","0","0","0","0","2","0","2","0","0","0","0","low","math-text;tap","structured","cost-model","false","asymptotic-growth"
"asymptotic-growth","cost-model","justify","","1","1","0","0","0","0","1","0","0","1","0","0","0","high","handwriting;math-text;photo","open-reasoning","cost-model","true","asymptotic-growth"
"asymptotic-growth","divide-conquer-recurrence","compute","","3","3","0","0","0","0","3","0","3","0","0","0","0","low;medium","math-text;tap","structured","divide-conquer-recurrence","false","asymptotic-growth"
"asymptotic-growth","growth-comparison","compare","","1","1","0","0","1","1","1","0","1","0","0","0","0","low","short-text","structured","growth-comparison","true","asymptotic-growth"
"asymptotic-growth","growth-comparison","prove","","6","6","0","0","0","0","6","0","0","6","0","0","0","high","handwriting;math-text;photo","open-reasoning","growth-comparison","false","asymptotic-growth"
"asymptotic-growth","little-o","prove","","4","4","0","0","0","0","4","0","0","4","0","0","0","high","handwriting;math-text;photo","open-reasoning","little-o","false","asymptotic-growth"
"asymptotic-growth","little-o","recognize","dominant-growth-class","0","1","0","1","0","1","0","1","0","0","1","3","0","low","tap","choice","little-o","false",""
"asymptotic-growth","loop-counting","compute","","13","13","0","0","0","0","13","0","13","0","0","0","0","low","math-text;tap","structured","loop-counting","false","asymptotic-growth"
